name,shortname
バッドコースター,コースター
トリッキークロス,クロス
ハーミットシェーカー,シェーカー
雪おしろい,おしろい
月つやべに,つやべに
花かんざし,かんざし
フォーマル・リーブス,リーブス
ダンディ・ラビット,ラビット
ノーヴル・クロック,クロック
青苧糸,糸
無縁塩,塩
陣立味噌,味噌
ラッキーダイス,ダイス
ミラクルトランプ,トランプ
ドリームチップ,チップ
ワイルドポテトV,ポテト
ストロングドッグZERO,ドッグ
Ｗマッスルバーガー,バーガー
AUOくじ2019,くじ
銅のセイバーバッヂ,銅バッヂ
銀のセイバーバッヂ,銀バッヂ
金のセイバーバッヂ,金バッヂ
アルトリウム,
慈愛の包帯,包帯
奉仕の体温計,体温計
真心の枕,枕
聖夜の絆創膏,絆創膏
出会いの風車,風車
集いの手毬,手毬
夜すがらの扇,扇
怪しい麦袋,麦袋
不気味な薬草,薬草
疑惑のハチミツ,ハチミツ
マーカーハウス,
ポイントジェム,
ライフカウンター,
シーニック・ビューティー,礼装
見上げた空の星に,礼装
錦上添花,礼装
次期当主会議,礼装
ベスティア・デル・ソル,礼装
双つ星の歌姫,礼装
概念礼装EXPカード：はじめてのカレー,★4EXP礼装
概念礼装EXPカード：謎の物質γ,★3EXP礼装
クリスマスの軌跡,礼装
聖女の教示,礼装
QP,
本能寺ポイント,
新選組ポイント,
織田幕府ポイント,
空中庭園謹製チョコ,チョコ
ドラクルコイン,
ギル＄札,
ミミ＄札,
ＢＢ＄札,
同人活動力,
同人探求力,
同人空想力,
おともだちポイント,
奉納ポイント,
詩詠みポイント,ポイント
キラキラポイント,ポイント
ノーマルダイス,
123ダイス,
456ダイス,
1ゾロダイス,
2ゾロダイス,
3ゾロダイス,
不夜の薔薇,
ムーンライト・フェスト,
トリック・オア・トリート,
ハロウィン・プリンセス,
ぐだお,
ホーリーナイト・サイン,
ピュアリー・ブルーム,
アルトリアの星,
メルティ・スイートハート,
首切りバニー2016,
三重結界,
カルデアの顕学,
カルデアを導く乙女,
慈悲無き者,
至るべき場所,
遮那王流離譚,
ゴールデン捕鯉魚図,
風雲仙姫,
九首牛魔羅王,
ゴールデン相撲～岩場所～,
月の湯治,
サマータイム・ミストレス,
カルデア・ライフセーバーズ,
カレイドサファイア,
カレイドルビー,
概念礼装EXPカード：マジカルルビー,
ジョイント・リサイタル,
勇者エリちゃんの冒険,
ウィザード＆プリースト,
マタ・ハリの酒場,
スイート・クリスタル,
聖夜の晩餐,
フォンダン・オ・ショコラ,
日輪の城,
壬生狼,
いつかの夏,
シーサイド・ラグジュアリー,
ダイブ・トゥ・ブルー,
チア・フォー・マスター,チア
二神三脚,二神
エアリアル・ドライブ,
黄金の翼,
ノスタルジック・フォーム,
メリー・シープ,
スイート・デイズ,礼装
トゥリファスにて,
城塞の午後,
白い服の水兵さん,
ペインティング・サマー,
レディ・フォクシー,
ウォーター・シャイン,
リターン・マッチ,
C・K・T,
ロイヤル・アイシング,
スリー・アングラー,
氷結闘熊,
銀雪の女神たち,
ビューティフル・ドリーマー,礼装
腹が減っては戦ができぬ,
天鬼姫,
盛夏の思い出,
ニット・ザ・ラブ,礼装
概念礼装EXPカード：おき太,
概念礼装EXPカード：ノッブ,
概念礼装EXPカード：謎の物質α,
概念礼装EXPカード：謎の物質β,
概念礼装EXPカード：九字兼定,
概念礼装EXPカード：刻印虫,
概念礼装EXPカード：ぐだぐだ明治維新,
概念礼装EXPカード：ぐだぐだウェルカム,
概念礼装EXPカード：ＢＢショット！,
概念礼装EXPカード：宇宙犬,
概念礼装EXPカード：フランの花,
概念礼装EXPカード：ぐだぐだまじんさん,
概念礼装EXPカード：ぐだぐだ土佐同盟,
概念礼装EXPカード：ドルセント・ショップ,
概念礼装EXPカード：猪王,
概念礼装EXPカード：ぐだぐだ天魔王×３,
概念礼装EXPカード：毘沙門天ぞ是にあり！,
概念礼装EXPカード：窮鼠,
ミニチェーンソー,チェーンソー
採れたて野菜,野菜
よく乾いた薪,薪
チェーンソー・オブ・ザ・デッド,礼装
ハイド・ハンター,礼装
スカサハコイン〔銅〕,コイン銅
スカサハコイン〔銀〕,コイン銀
スカサハコイン〔金〕,コイン金
戦士の名札,名札
掲げるは我が心,礼装
ミニ銅鐸,銅鐸
おてがる銅鏡,銅鏡
おおぶり蛤,蛤
芳しい茅束,茅束
丈夫な丸太,丸太
寝かせた粘土,粘土
姫巫女の寸暇,礼装
概念礼装EXPカード：ようこそ邪馬台国！,★4EXP礼装
概念礼装EXPカード：猛者と無敵,★3EXP礼装
虚数トロ,トロ
虚数ウニ,ウニ
虚数ゲソ,ゲソ
眩い魚鱗,魚鱗
眩いヒレ,ヒレ
眩い鋭歯,鋭歯
ライク・ア・バード,礼装
虹の糸玉,糸玉
鬼炎鬼灯,鬼灯
クールガム,ガム
セイントバー,バー
ホーリーバナナ,バナナ
太陽のバンテージ,バンテージ
チェリー・アイシクル,礼装
ブラックプレゼント,
概念礼装EXPカード：ロデオ,
腕白煎餅,煎餅
山伏団子,団子
合戦最中,最中
愛し子を縫う,礼装
ゴッド・フェザー,フェザー
ゴッド・ハープ,ハープ
ゴッド・アロー,アロー
ゴッド・ラブポイント,ラブポイント
ホワイト・ガーデン,礼装
ボイジャーマグ,マグ
時計塔キーホルダー,キーホルダー
メジェぐるみ,メジェぐるみ
マハトマタオル,タオル
エンペラーうちわ,うちわ
ストーンペンライト,ペンライト
アイドリウムポイント〔ボーカル〕,ポイントV
アイドリウムポイント〔ダンス〕,ポイントD
アイドリウムポイント〔パフォーマンス〕,ポイントP
茜の空に咲く,礼装
赦免の小鐘,小鐘
夢幻の鱗粉,鱗粉
海賊バンダナ,バンダナ
海賊ジョッキ,ジョッキ
海賊サーベル,サーベル
海賊の宝箱〔銅〕,宝箱銅
海賊の宝箱〔銀〕,宝箱銀
海賊の宝箱〔金〕,宝箱金
オーシャン・フライヤー,特攻礼装
シンク・ディーパー,ボーナス礼装
秘密の地図〔ドクロ島の財宝〕,〕
秘密の地図〔サカズキ島の財宝〕,〕
秘密の地図〔トクガワ島の財宝〕,〕
秘密の地図〔ミズウミ島の財宝〕,〕
秘密の地図〔スリスリ島の財宝〕,〕
秘密の地図〔海底城の財宝〕,〕
秘密の地図〔海蛇の巣の財宝〕,〕
秘密の地図〔グツグツ島の財宝〕,〕
秘密の地図〔滝つぼの財宝〕,〕
秘密の地図〔雲の上の財宝〕,〕
秘密の地図〔大海原の財宝〕,〕
秘密の地図〔幽霊船の財宝〕,〕
秘密の地図〔果ての財宝〕,〕
秘密の地図〔北の財宝〕,〕
秘密の地図〔南の財宝〕,〕
秘密の地図〔東の財宝〕,〕
秘密の地図〔西の財宝〕,〕
秘密の地図〔最後の財宝〕,〕
まじないのゴマ,ゴマ
お菓子の家,家
毒リンゴ,毒リンゴ
メルヘンポイント〔シンデレラ〕,シンデレラP
メルヘンポイント〔白雪姫〕,白雪姫P
メルヘンポイント〔赤ずきん〕,赤ずきんP
翡翠の髪状,髪状
小人の仕立て屋さん,仕立て屋
ベア・キングス,キングス
ＭＩＳＯポテト,ＭＩＳＯポテト
ＦＵＫＡＹＡネギ,ネギ
維新まんじゅう,まんじゅう
花と舞う妓,礼装
概念礼装EXPカード：阿国座カルデア公演,★4EXP礼装
概念礼装EXPカード：謎の蘭丸X飛来！,★3EXP礼装
シュガーフルーツ,フルーツ
スイートエッグ,エッグ
リッチバター,バター
聖女見習いの交換券,券
ツリースプーン,スプーン
ライク・ア・レディ,礼装
メリーサイダー,メリーサイダー
おたまステッキ,ステッキ
カカオチップ,カカオチップ
ビターパウダー,パウダー
スパイシーショコラトル,ショコラトル
用心棒ポイント,用心棒P
お疲れ様です！,礼装
インテリペーパー,ペーパー
クールバインダー,バインダー
スマートペン,ペン
スペースポテト,スペースポテト
ギャラクシードッグ,ギャラクシードッグ
メテオバーガー,メテオバーガー
AUOくじ2022,AUOくじ2022
チェック・レディ,特攻礼装
コスモカルデア高等学園,泥礼装
神秘蔦,蔦
万能岩,岩
魔生木,木
元気なコン,元コン
陽気なコン,陽コン
健気なコン,健コン
スタァの休日,礼装
クランクイン,泥礼装
概念礼装EXPカード：Ｓバニヤン降臨,★4EXP礼装
概念礼装EXPカード：大黒天＆アニング降臨,★3EXP礼装
ドカドカハンマー,ハンマー
ガツガツピッケル,ピッケル
ザクザクシャベル,シャベル
来福おにぎり,おにぎり
シガースティック（偽）,シガー
アンティークリール,リール
フレンドポイント,FP
黄昏の儀式剣,剣
忘れじの灰,灰
白々御飯,御飯
噛々縄索,縄索
転々手鞠,手鞠
犬士ポイント,犬士P
