id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14
94049310,凶つ神「嵐ノブ」撃退戦 邪念級,凶つ神「嵐ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,卵,鉄杭,騎秘,騎魔,騎輝,丸太,銅鐸,,,,,
94049311,凶つ神「嵐ノブ」撃退戦 呪念級,凶つ神「嵐ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,卵,鉄杭,騎秘,騎魔,騎輝,丸太,銅鐸,,,,
94049312,凶つ神「嵐ノブ」撃退戦 怨念級,凶つ神「嵐ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,卵,鉄杭,騎秘,騎魔,騎輝,丸太,銅鐸,,,,,
94049313,凶つ神「光ノブ」撃退戦 邪念級,凶つ神「光ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,胆石,火薬,術秘,術魔,術輝,茅束,銅鏡,,,,,
94049314,凶つ神「光ノブ」撃退戦 呪念級,凶つ神「光ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,胆石,火薬,術秘,術魔,術輝,茅束,銅鏡,,,,
94049315,凶つ神「光ノブ」撃退戦 怨念級,凶つ神「光ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,胆石,火薬,術秘,術魔,術輝,茅束,銅鏡,,,,,
94049316,凶つ神「闇ノブ」撃退戦 邪念級,凶つ神「闇ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,脂,冠,殺秘,殺魔,殺輝,粘土,銅鐸,,,,,
94049317,凶つ神「闇ノブ」撃退戦 呪念級,凶つ神「闇ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,脂,冠,殺秘,殺魔,殺輝,粘土,銅鐸,,,,
94049318,凶つ神「闇ノブ」撃退戦 怨念級,凶つ神「闇ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,脂,冠,殺秘,殺魔,殺輝,粘土,銅鐸,,,,,
94049319,凶つ神「狂ノブ」撃退戦 邪念級,凶つ神「狂ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,産毛,結氷,狂秘,狂魔,狂輝,粘土,蛤,,,,,
94049320,凶つ神「狂ノブ」撃退戦 呪念級,凶つ神「狂ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,産毛,結氷,狂秘,狂魔,狂輝,粘土,蛤,,,,
94049321,凶つ神「狂ノブ」撃退戦 怨念級,凶つ神「狂ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,産毛,結氷,狂秘,狂魔,狂輝,粘土,蛤,,,,,
